,,,,,,,,,,,
SubSystem,Component Type,Component Name (use for variables?),Qty,Need / Description,Item Link,Voltage,Power Draw,Connects To,Interface Type,Req. IO Channels,
Environmental Monitoring,Temp/Humidity Sensor,GBX_environmentalSensor,1,Monitor environmental temperature and %RH within the GBX enclosure,https://www.adafruit.com/product/5989,5,,FPU Mega,I2C,2,"SCL, SDA"
Environmental Monitoring,Temp/Humidity Sensor,Dryer_regenExhaustEnvironmentalSensor,1,Monitor temperature and %RH of the dryer's regen exhaust,https://www.adafruit.com/product/5989,5,,FPU Mega,I2C,2,"SCL, SDA"
Power Monitoring,AC Current Sensor,FPU_24VsupplyACCurrent,1,Monitor AC supply current to the 24VDC power supply,https://www.electromaker.io/shop/product/gravity-analog-ac-current-sensor,5,,FPU Mega,analog,1,analog
Power Monitoring,AC Current Sensor,FC_48VsupplyACCurrent,1,Monitor AC supply current to the 48VDC power supply (for the FC_blowerMotor),https://www.electromaker.io/shop/product/gravity-analog-ac-current-sensor,5,,FPU Mega,analog,1,analog
Power Monitoring,AC Current Sensor,Shredder_motorControllerACCurrent,1,Monitor AC supply current to the 160VDC power supply (for the Shredder_motor),https://www.electromaker.io/shop/product/gravity-analog-ac-current-sensor,5,,FPU Mega,analog,1,analog
Power Monitoring,AC Current Sensor,GBX_ACCurrent,1,Monitor AC supply current to the GBX,https://www.electromaker.io/shop/product/gravity-analog-ac-current-sensor,5,,FPU Mega,analog,1,analog
Power Monitoring,AC Current Sensor,Dryer_ACCurrent,1,Monitor AC supply current to the ConAir dryer unit,https://www.electromaker.io/shop/product/gravity-analog-ac-current-sensor,5,,FPU Mega,analog,1,analog
Power Monitoring,AC Current Sensor,FE_ACCurrent,1,Monitor AC supply current to the fume extractor,https://www.electromaker.io/shop/product/gravity-analog-ac-current-sensor,5,,FPU Mega,analog,1,analog
Safety Systems,System Status Light,statusStackLight,1,"Display green, yellow, red depending on system status",,,,RPi 5,,,
Safety Systems,FPU Emergency Stop,FPU_emergencyStop,1,Emergency stop for the FPU (not an AC power switch) - need to define the behavior,,5,,FPU Mega,digital,1,
Safety Systems,GBX Emergency Stop,GBX_emergencyStop,1,Emergency stop for the GBX (not an AC power switch) - same as z-axis limit switch?,,,,GBX Archimajor,,,
